2020-07-31 16:57:21 status unpacked findutils:armhf 4.7.0-1ubuntu1
2020-07-31 16:57:21 install gcc-10-base:armhf <none> 10-20200411-0ubuntu1
2020-07-31 16:57:21 status half-installed gcc-10-base:armhf 10-20200411-0ubuntu1
2020-07-31 16:57:21 status unpacked gcc-10-base:armhf 10-20200411-0ubuntu1
2020-07-31 16:57:21 install grep:armhf <none> 3.4-1
2020-07-31 16:57:21 status half-installed grep:armhf 3.4-1
2020-07-31 16:57:21 status unpacked grep:armhf 3.4-1
2020-07-31 16:57:21 install gzip:armhf <none> 1.10-0ubuntu4
2020-07-31 16:57:21 status half-installed gzip:armhf 1.10-0ubuntu4
2020-07-31 16:57:22 status unpacked gzip:armhf 1.10-0ubuntu4
2020-07-31 16:57:22 install hostname:armhf <none> 3.23
2020-07-31 16:57:22 status half-installed hostname:armhf 3.23
2020-07-31 16:57:22 status unpacked hostname:armhf 3.23
2020-07-31 16:57:22 install init-system-helpers:all <none> 1.57
2020-07-31 16:57:22 status half-installed init-system-helpers:all 1.57
2020-07-31 16:57:22 status unpacked init-system-helpers:all 1.57
2020-07-31 16:57:22 install libacl1:armhf <none> 2.2.53-6
2020-07-31 16:57:22 status half-installed libacl1:armhf 2.2.53-6
2020-07-31 16:57:22 status unpacked libacl1:armhf 2.2.53-6
2020-07-31 16:57:22 install libattr1:armhf <none> 1:2.4.48-5
2020-07-31 16:57:22 status half-installed libattr1:armhf 1:2.4.48-5
2020-07-31 16:57:22 status unpacked libattr1:armhf 1:2.4.48-5
2020-07-31 16:57:22 install libaudit-common:all <none> 1:2.8.5-2ubuntu6
2020-07-31 16:57:22 status half-installed libaudit-common:all 1:2.8.5-2ubuntu6
2020-07-31 16:57:22 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
2020-07-31 16:57:22 install libaudit1:armhf <none> 1:2.8.5-2ubuntu6
2020-07-31 16:57:22 status half-installed libaudit1:armhf 1:2.8.5-2ubuntu6
2020-07-31 16:57:22 status unpacked libaudit1:armhf 1:2.8.5-2ubuntu6
2020-07-31 16:57:22 install libblkid1:armhf <none> 2.34-0.1ubuntu9
2020-07-31 16:57:22 status half-installed libblkid1:armhf 2.34-0.1ubuntu9
2020-07-31 16:57:22 status unpacked libblkid1:armhf 2.34-0.1ubuntu9
2020-07-31 16:57:22 install libbz2-1.0:armhf <none> 1.0.8-2
2020-07-31 16:57:22 status half-installed libbz2-1.0:armhf 1.0.8-2
2020-07-31 16:57:22 status unpacked libbz2-1.0:armhf 1.0.8-2
2020-07-31 16:57:22 install libc-bin:armhf <none> 2.31-0ubuntu9
2020-07-31 16:57:22 status half-installed libc-bin:armhf 2.31-0ubuntu9
2020-07-31 16:57:22 status unpacked libc-bin:armhf 2.31-0ubuntu9
2020-07-31 16:57:22 upgrade libc6:armhf 2.31-0ubuntu9 2.31-0ubuntu9
2020-07-31 16:57:22 status half-configured libc6:armhf 2.31-0ubuntu9
2020-07-31 16:57:22 status unpacked libc6:armhf 2.31-0ubuntu9
2020-07-31 16:57:22 status half-installed libc6:armhf 2.31-0ubuntu9
2020-07-31 16:57:23 status unpacked libc6:armhf 2.31-0ubuntu9
2020-07-31 16:57:23 install libcap-ng0:armhf <none> 0.7.9-2.1build1
2020-07-31 16:57:23 status half-installed libcap-ng0:armhf 0.7.9-2.1build1
2020-07-31 16:57:23 status unpacked libcap-ng0:armhf 0.7.9-2.1build1
2020-07-31 16:57:23 install libcom-err2:armhf <none> 1.45.5-2ubuntu1
2020-07-31 16:57:23 status half-installed libcom-err2:armhf 1.45.5-2ubuntu1
2020-07-31 16:57:23 status unpacked libcom-err2:armhf 1.45.5-2ubuntu1
2020-07-31 16:57:23 install libcrypt1:armhf <none> 1:4.4.10-10ubuntu4
2020-07-31 16:57:23 status half-installed libcrypt1:armhf 1:4.4.10-10ubuntu4
2020-07-31 16:57:23 status unpacked libcrypt1:armhf 1:4.4.10-10ubuntu4
2020-07-31 16:57:23 install libdb5.3:armhf <none> 5.3.28+dfsg1-0.6ubuntu2
2020-07-31 16:57:23 status half-installed libdb5.3:armhf 5.3.28+dfsg1-0.6ubuntu2
2020-07-31 16:57:23 status unpacked libdb5.3:armhf 5.3.28+dfsg1-0.6ubuntu2
2020-07-31 16:57:23 install libdebconfclient0:armhf <none> 0.251ubuntu1
2020-07-31 16:57:23 status half-installed libdebconfclient0:armhf 0.251ubuntu1
2020-07-31 16:57:23 status unpacked libdebconfclient0:armhf 0.251ubuntu1
2020-07-31 16:57:23 install libext2fs2:armhf <none> 1.45.5-2ubuntu1
2020-07-31 16:57:23 status half-installed libext2fs2:armhf 1.45.5-2ubuntu1
2020-07-31 16:57:23 status unpacked libext2fs2:armhf 1.45.5-2ubuntu1
2020-07-31 16:57:23 install libfdisk1:armhf <none> 2.34-0.1ubuntu9
2020-07-31 16:57:23 status half-installed libfdisk1:armhf 2.34-0.1ubuntu9
2020-07-31 16:57:23 status unpacked libfdisk1:armhf 2.34-0.1ubuntu9
2020-07-31 16:57:23 install libgcc-s1:armhf <none> 10-20200411-0ubuntu1
2020-07-31 16:57:23 status half-installed libgcc-s1:armhf 10-20200411-0ubuntu1
